MemberID,SSN,FirstName,LastName,Gender,DOB,Address,City,State,Zip,Phone,Email,EnrollmentStart,EnrollmentEnd,Relationship,MemberSeq,CoverageType,CoverageStatus,GroupID,GroupName,GroupAddress,GroupCity,GroupState,GroupZip,GroupStatus,PlanID,PlanName,PlanType,PlanEffectiveDate,PlanTerminationDate,PCPName,PCPNPI,SubscriberID,MaritalStatus,EmploymentStatus,Language,Ethnicity,MedicareID,MedicaidID,OtherInsurance,DisabilityStatus
100001,543-21-9876,John,Smith,M,1980-02-14,123 Maple Ave,Chicago,IL,60616,3125551234,john.smith@email.com,2023-01-01,2023-12-31,Subscriber,01,Medical,Active,G1001,Acme Corp,100 Corp Dr,Chicago,IL,60616,Active,P2001,Acme Gold PPO,PPO,2023-01-01,2023-12-31,Dr. Alice White,1234567890,100001,Married,Employed,English,Caucasian,123456789A,IL1234567,Y,N
100002,654-32-1987,Emily,Johnson,F,1975-07-22,456 Oak St,Boston,MA,02118,6175552345,emily.j@email.com,2022-05-15,2024-05-14,Spouse,02,Medical,Active,G1001,Acme Corp,100 Corp Dr,Chicago,IL,60616,Active,P2001,Acme Gold PPO,PPO,2022-05-15,2024-05-14,Dr. Alice White,1234567890,100001,Married,Employed,English,Caucasian,234567890B,MA2345678,N,N
100003,765-43-2198,Aiden,Smith,M,2007-11-03,123 Maple Ave,Chicago,IL,60616,3125551234,,2023-01-01,2023-12-31,Child,03,Medical,Active,G1001,Acme Corp,100 Corp Dr,Chicago,IL,60616,Active,P2001,Acme Gold PPO,PPO,2023-01-01,2023-12-31,Dr. Alice White,1234567890,100001,Single,Student,English,Caucasian,,,N,N
100004,876-54-3219,Sarah,Brown,F,1992-03-30,789 Birch Ln,Atlanta,GA,30303,4045553456,sarah.brown@email.com,2023-04-01,2023-12-31,Subscriber,01,Medical,Active,G1002,Beta LLC,200 Beta Rd,Atlanta,GA,30303,Active,P2002,Beta Silver HMO,HMO,2023-04-01,2023-12-31,Dr. Tom Green,2345678901,100004,Single,Employed,Spanish,African American,345678901C,GA3456789,N,N
100005,987-65-4321,Michael,Lee,M,1985-08-09,321 Pine Ct,Denver,CO,80203,7205554567,michael.lee@email.com,2022-10-01,2023-09-30,Subscriber,01,Medical,Termed,G1003,Gamma Inc,300 Gamma Ave,Denver,CO,80203,Termed,P2003,Gamma Bronze EPO,EPO,2022-10-01,2023-09-30,Dr. Lisa Blue,3456789012,100005,Married,Employed,English,Asian,456789012D,CO4567890,N,N
100006,234-56-7890,Alice,Garcia,F,1991-12-14,212 Spruce Dr,Miami,FL,33101,3055555678,alice.garcia@email.com,2021-07-01,2022-06-30,Subscriber,01,Medical,Termed,G1004,Delta Ltd,400 Delta Blvd,Miami,FL,33101,Termed,P2004,Delta Platinum POS,POS,2021-07-01,2022-06-30,Dr. Henry Black,4567890123,100006,Single,Employed,English,Hispanic,567890123E,FL5678901,N,N
100007,345-67-8901,Robert,Williams,M,1978-05-20,876 Cedar St,Seattle,WA,98101,2065556789,robert.w@email.com,2022-01-01,2023-12-31,Subscriber,01,Medical,Active,G1005,Epsilon Partners,500 Epsilon Way,Seattle,WA,98101,Active,P2005,Epsilon Choice HSA,HSA,2022-01-01,2023-12-31,Dr. Susan Violet,5678901234,100007,Married,Employed,English,African American,678901234F,WA6789012,N,N
100008,456-78-9012,Jessica,Williams,F,1982-09-12,876 Cedar St,Seattle,WA,98101,2065556789,jessica.w@email.com,2022-01-01,2023-12-31,Spouse,02,Medical,Active,G1005,Epsilon Partners,500 Epsilon Way,Seattle,WA,98101,Active,P2005,Epsilon Choice HSA,HSA,2022-01-01,2023-12-31,Dr. Susan Violet,5678901234,100007,Married,Employed,English,African American,789012345G,WA7890123,N,N
100009,567-89-0123,Liam,Williams,M,2010-03-21,876 Cedar St,Seattle,WA,98101,2065556789,,2022-01-01,2023-12-31,Child,03,Medical,Active,G1005,Epsilon Partners,500 Epsilon Way,Seattle,WA,98101,Active,P2005,Epsilon Choice HSA,HSA,2022-01-01,2023-12-31,Dr. Susan Violet,5678901234,100007,Single,Student,English,African American,,,N,N
100010,678-90-1234,David,Kim,M,1990-04-11,135 Willow Rd,San Francisco,CA,94102,4155557890,david.kim@email.com,2023-02-15,2024-02-14,Subscriber,01,Medical,Active,G1006,Zeta Group,600 Zeta Plaza,San Francisco,CA,94102,Active,P2006,Zeta Standard PPO,PPO,2023-02-15,2024-02-14,Dr. Mark Indigo,6789012345,100010,Single,Employed,English,Asian,890123456H,CA8901234,N,N
